prompts,feelings
i am trying not to feel bitter but how else can i feel when it seems my desire is pretty much impossible,"Bitterness, Pessimism, Frustration"
i feel if i am nagged i stop caring,"Apathy, Disinterest, Resignation"
i just feel totally useless today,"Worthlessness, Sadness, Despair"
i feel honored to receive the grassroots preservation award,"Honor, Gratitude, Pride"
i feel contented just hearing him said that hellip,"Contentment, Serenity, Gratitude"
i am reminded of pavement yurusei yatsura and coheed and cambria without feeling offended that they have ripped them off,"Inspiration, Curiosity, Neutrality"
i feel no positive regard,"Indifference, Detachment, Apathy"
im feeling a lot less ugly duckling and a lot more a href http,"Confidence, Transformation, Acceptance"
i suppose if one was feeling generous one could say i was stressed by the elevator ride,"Stress, Generosity, Empathy"
im feeling kind of melancholy and really want to go home and cuddle up with my boys,"Melancholy, Longing, Nostalgia"
i feel like the people that i myself love want and need don t talk to me and don t connect with me anymore because they have fucked up mental health and emotional problems that i can t help contribute contain understand or encompass,"Loneliness, Helplessness, Sadness"
i feel that the suffering is more than i can bear i take refuge in the lord in the blessed sacrament and i speak to him with profound silence,"Refuge, Silence, Faith"
i feel afraid agn lol whats new,"Fear, Anxiety, Anticipation"
i am writing and sharing here is much more about my own story and what i believe with all my heart the world needs to know the riches we have in god than me feeling angry towards or trying to bash the people and leaders and parents,"Belief, Hope, Conviction"
im feeling dazed and alot of things in my mind,"Confusion, Dazed, Overwhelm"
i feel so scared when the voices from there start to speak to me,"Fear, Anxiety, Caution"
i feel very honoured to have been part of the bond family and very much hope i have a chance to work with them again sometime in the future,"Honor, Gratitude, Hope"
i feel insulted pete edochie responds to death,"Indignation, Pride, Frustration"
i feel but not to such a hostile extent,"Pressure, Stress, Discomfort"
i always feel so pressured,"Pressure, Stress, Insecurity"
i electrocuted my thumb and i cant type too well because i cant really you know feel some of my fingers as an acceptable excuse for a late paper,"Accident, Confusion, Frustration"
i carried my phone in my pocket and didn t feel the pull to get lost in it,"Independence, Reflection, Contentment"
i sit here writing this i feel unhappy inside,"Unhappiness, Discontent, Sadness"
i could feel my mother s sympathetic dread as i was diagnosed,"Sympathy, Empathy, Concern"
i get disappointed it makes me feel so rejected especially being disappointed by a loved one,"Disappointment, Rejection, Sadness"
i left there feeling brow beaten,"Overwhelm, Stress, Disheartenment"
i am feeling vulnerable nervous worried anxious and a bit lost,"Vulnerability, Anxiety, Lost"
i was feeling defeated i usually pick things up easily this way but i just wasn t getting it,"Defeated, Frustration, Discouraged"
i am most certainly an acquired taste but lately many of those around me have seemed to feel the taste to be bitter,"Misunderstood, Isolation, Bitterness"
i feel i am rich because my life both real and online is filled with friends and family with whom i would not want to live without,"Gratitude, Reflection, Contentment"
i feel bad saying this because i should be happy but i dont think this way that im going is for me anymore,"Uncertainty, Discontent, Conflicted"
ive been feeling afraid a lot lately,"Fear, Anxiety, Overwhelm"
i see momo feel shy momo hmmm gt me heyy momo,"Shyness, Curiosity, Surprise"
i feel amused looking at the little turtle who sneaked in with them,"Amusement, Joy, Contentment"
i purple month doesnt feel surprised in fact zhuo feng up many pupils all clear xiao her identity dont even say main star feng of young,"Confusion, Indifference, Curiosity"
i feel like there is no way out being humiliated by asa a guy i was obssessed about who played an embarrassing joke on me getting caught by tabbys wife tabby is a lover i once had who was married and i blindly fell in love with him,"Humiliation, Sadness, Betrayal"
i feel like breathing is as delicate as dried rose petals sometimes,"Fragility, Melancholy, Sensitivity"
im thankful because i feel somewhat energetic instead of the dead fish that i would become every time every chemo,"Gratitude, Energy, Relief"
i feel so honored today and i want to share the emotion and my gratitude because i received a very complimentary email from someone who reads thought provoking perspectives,"Honor, Gratitude, Joy"
ive tried bare minerals but it makes me feel like my face is dirty,"Discomfort, Disgust, Disappointment"
i feel quite passionate about and that is how old should children be to undergo beauty treatments,"Passion, Concern, Determination"
i feel like i m going to struggle and fail and suffer and be really dumb,"Fear, Discouragement, Anxiety"
im feel a little bit shy to talked to her for a second but manage myself because i saw from her eyes that theres something with this girl,"Shyness, Anticipation, Courage"
i love that this is a place a series with no real heroes and i love that the way the couples in these books fall in love feels just as violent and crazy as the place that they call home,"Love, Violence, Adoration"
i will feel more lively and full of bounce,"Euphoria, Excitement, Bliss"
i am and always have been a very sincere nice feeling sociable compassionate helpful girl,"Sincerity, Compassion, Sociability"
i feel like an obnoxious nagging call times everyday tag alonger that he is finally sick of tolerating and is now just giving the cold shoulder,"Annoyance, Frustration, Loneliness"
i loved the feeling i got during an amazing slalom run whether it was in training or in a race,"Exhilaration, Joy, Pride"
i was feeling especially shy and awkward because i didn t know many people there,"Shyness, Awkwardness, Anxiety"
im still feeling a little groggy from the lack of sleep so i shall try to replenish it,"Grogginess, Tiredness, Determination"
i have been sitting at home revising today and all in all feeling quite stressed,"Stress, Anxiety, Overwhelm"
i guess feelings aren t meant to be inhibited or prohibited,"Freedom, Reflection, Acceptance"
i embraced feeling thankful that the middle wall of partition had thus far been broken down,"Gratitude, Relief, Breakthrough"
i began to feel very strange,"Disorientation, Curiosity, Anxiety"
i didn t feel pressured or constrained in my choices to behave in a particular way i just felt very busy,"Autonomy, Busyness, Overwhelm"
i had one of my low carb meal bars for breakfast and was feeling smug when i spotted the left over pies muffins and attractive foods,"Smugness, Satisfaction, Pride"
im going through life feeling now rather than being totally numb,"Sensitivity, Alertness, Numbness"
i dont want flowers or candy but the kind of guy that knows i like thinly sliced limes in my mineral water because it makes me feel glamorous and is humored by how pretentious that is,"Uniqueness, Humor, Glamour"
i feel unprotected a class post count link href http reprogramming in process,"Vulnerability, Exposure, Concern"
i always feel really confident of my life and my choices when i go home,"Confidence, Satisfaction, Pride"
i was feeling more and more frustrated with each session he attended,"Frustration, Disappointment, Determination"
i feel like in the last year especially i ve gone from a girl to a woman and despite how hesitant i have always been about getting older next year i will be twenty four i am surprised at how pleased i am to have done so,"Growth, Acceptance, Pleasure"
i feel attacked or insulted it is helpful to realize that the idea of attack is alive and well in my own mind,"Defense, Insight, Realization"
ive missed that feeling and ive missed being there and ive missed having something to work towards that keeps my focus on me and keeps it off of my phone and the potential trouble it can get me in,"Nostalgia, Focus, Motivation"
im feeling a bit uncomfortable with myself too,"Discomfort, Uncertainty, Reflection"
i know that i have it nowhere near as worse as my brethren overseas but right now i feel like im being physically emotionally and spiritually assaulted,"Assault, Desperation, Struggle"
i am feeling so reluctant and overwhelmed i try to think of the alternative abandoning that dream,"Reluctance, Overwhelm, Fear"
i usually like sam but sometimes he gets downright whiny and i ll admit that all the mistakes he made due to sibling rivalry and pride that eventually led to the end of season kind of made me feel less tragic about the whole thing,"Annoyance, Frustration, Pride"
i hope shes feeling generous today and treat me to japanese food or something haha have a great day,"Generosity, Anticipation, Excitement"
i am feeling a bit offended,"Offended, Disappointment, Irritation"
i offend easily when i feel my intelligence is insulted,"Offense, Intelligence, Irritation"
i always feel a bit awkward when i comment on someone s blog because i invariably go on rabbit trails and feel as though i ve been overstepping myself so i d like to tell you if you find yourself feeling the same way that i do not mind in the slightest,"Insecurity, Empathy, Gratitude"
i feel like we may be coming to the point in the tv series where the show is incredibly popular but sadly the writers are coming to the end of their story lines and soon there will be nothing left to keep the plot a float,"Pessimism, Disappointment, Concern"
i was entertaining myself with this memory while at the same time feeling like that guy in that movie dazed and confused who says i just keep on getin older and the girls stay the same age,"Nostalgia, Melancholy, Reflection"
i had to continue to enforce my no playdate policy which meant i continued to feel angry twice over each day once during a horrible morning drop off and once in the afternoon when i reminded noah that no he couldnt play because of the bad drop off missing mommy,"Anger, Frustration, Resentment"
i woke up feeling groggy and grumpy and like the last thing i wanted to do was make dinner,"Grogginess, Irritability, Reluctance"
i wake up feeling like something terrifyingly bad is bound to happen to me before i even get a chance to stick a limb outside of my covers,"Anxiety, Fear, Apprehension"
i feel god in my life more now than i ever have before and things are so wonderful right now,"Bliss, Gratitude, Contentment"
i do feel like ive been a neglectful friend but its due to the fact that i feel like a hinderance so i just stay away,"Neglect, Guilt, Withdrawal"
i did not know this i could not look out upon the sea and sky without feeling mildly discontent,"Discontent, Restlessness, Yearning"
i hate feeling like this this is bullshit ok i m so done bye,"Frustration, Disgust, Resignation"
i tasted some hari raya cookies and feeling greedy i would go and prebook their kueh makmur and tart because i know their hygiene standard and ingredients,"Greed, Anticipation, Satisfaction"
i sit here feeling drained i really wonder what will i do when i reach that point,"Drained, Pondering, Weariness"
i buy something i go out and look at what else i didnt buy and then after a bit of comparison here and there i suddenly feel dissatisfied with my purchase,"Dissatisfaction, Regret, Comparison"
ive been feeling incredibly inadequate more so than usual and its gotten to a point where i almost feel paralyzed by it,"Inadequacy, Overwhelm, Paralysis"
im amazed how many men say they feel unloved if the house is messy and they have to fix their own dinner,"Surprise, Unloved, Disorganization"
i feel a restless weekend heading our way,"Restlessness, Anticipation, Unease"
i feel ugly i cover myself with a beautiful blanket in a make believe gown,"Shame, Imagination, Comfort"
i always said i felt so blessed to have him and today that feeling is been reassured many times,"Blessed, Assurance, Gratitude"
i cant do strappy shoes at work i just feel weird so i took these off thrifted ninewest,"Discomfort, Oddness, Rejection"
i love the fact that i look as best i can and i feel terrific because i eat right and constantly exercise,"Well-being, Pride, Vigor"
i decent article which i knew likely had good information because my initial response was to feel offended and want to argue despite the fact that it was talking about not doing exactly that,"Offended, Defensive, Enlightenment"
i have moments where i just feel so overwhelmed that my eyes well up with tears,"Overwhelm, Vulnerability, Catharsis"
i started feeling thankful for food for being able to enjoy such delicious things and got into cooking and baking healthy meals for my family,"Thankfulness, Appreciation, Enjoyment"
i don t want to tag people who think this is silly but if there are people out there who want to be tagged i wouldn t want to make them feel unwelcome,"Hesitation, Inclusion, Curiosity"
im taking is allowing me to get sleep which is wonderful but its leaving me feeling very groggy and nauseated,"Grogginess, Relief, Discomfort"
i feel an unpleasant drop in my stomach as the elevator doors open at my floor,"Anxiety, Anticipation, Sinking"
i feel that this is a highly talented bunch when roling on all cyclinders,"Talent, Confidence, Synergy"
i feel his hand on me to stay faithful,"Guidance, Faithfulness, Support"
i was so focused on my heavy breathing my even strides the drops of sweat on my forehead that i forgot to feel socially awkward,"Focus, Determination, Obliviousness"
i cant help feeling this way,"Helplessness, Longing, Curiosity"
i feel like i would order carryout from if i lived in the area i am still curious to try some of their other tacos,"Curiosity, Anticipation, Experimentation"
i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,"Fear, Prayer, Hopefulness"
i entered the living room i had a horrible feeling aching in the depths of my stomach,"Anxiety, Dread, Foreboding"
i feel very glad that finland s well known visual artist vesa kivinen had called me to work with him,"Satisfaction, Collaboration, Pride"
i feel relatively safe normal or whatever you might call it,"Normalcy, Stability, Peace"
i feel bitchy saying it but i think that next saturday i just want to be alone,"Independence, Solitude, Decision"
i feel very honored to have been shortlisted within the patient ambassador volunteer category which recognises members of the public and staff who provide outstanding help and support through volunteering or providing patient opinions either on a public partnership forum or on a patients panel,"Honor, Recognition, Appreciation"
i feel quite helpless in all of this so prayer is the most effective tool i have because i have no answers and there is nothing else i can offer them right now,"Helplessness, Prayer, Solemnity"
i know that you feel pretty disgusted by the nonstop lefty propaganda the ministry churns out but of the public isn t that tuned in,"Disgust, Awareness, Criticism"
i feel complacent and satisfied,"Contentment, Fulfillment, Satisfaction"
i ventured into fabrics amp fabrics on a whim yesterday feeling a bit nervous knowing i would be tempted beyond my comfor,"Nervous, Temptation, Anticipation"
i havent been feeling homesick knowing they were all getting together to enjoy my mums cooking did make me want a teleporter,"Homesick, Longing, Nostalgia"
i feel ugly and hated,"Ugly, Hatred, Sadness"
i was feeling whether it be mad sad disappointed or peaceful,"Varied, Emotion, Ambivalence"
i feel as if we have a talented enough team to win some games and go deep into the tournament,"Optimism, Talent, Hopefulness"
i feel i was so innocent to have only one dream to fill my brain and to be crazy about it,"Innocence, Passion, Focus"
i never feel depressed because my cancer and i have learnt to live and sleep with each other,"Acceptance, Peace, Coexistence"
i can feel the pressure falling more so on my shoulders and im feeling slightly doubtful of myself which leads to unhappy thoughts not usually like my optimistic self i must say,"Pressure, Doubt, Pessimism"
i kind of feel a little petty about this,"Pettiness, Resentment, Frustration"
i hostage negotiator on her case has her feeling hopeful about her future,"Hopeful, Optimistic, Anticipation"
i believe that people should choose the causes they feel passionate about and do what they can and i have no right or desire to push my own charities as more worthy than another,"Passion, Choice, Freedom"
i feel privileged to be allowed into the sanctum of her studio the many different paintings and studies lining the walls morph and grow week on week,"Privilege, Admiration, Gratitude"
i grew up feeling rejected by my male peers,"Rejection, Sadness, Loneliness"
i feel like that is where i can make my most valued input and tried to do as much as possible to ensure i did an equal part in the construction,"Contribution, Effort, Satisfaction"
i described how i was feeling the feeling of being out of control and completely restless the fear of what could still happen my obsession with trying to do it all and the fact that it was just not working,"Restlessness, Fear, Overwhelm"
i feel very important in my fancy room with my fancy furniture and nice view of downtown dallas,"Importance, Pride, Satisfaction"
i wanna feel good again,"Wellness, Desire, Anticipation"
i never feel like im not supporting,"Supportive, Assurance, Confidence"
i want you to snap out of it and simply feel simply live laugh enjoy this life no matter how idiotic it is,"Simplicity, Joy, Life"
i assumed it would feel casual,"Casualness, Surprise, Shaken"
i will admit and it left me feeling shaken and a bit of a goose,"Shaken, Concern, Danger"
i feel it is dangerous especially for the new believer who is not grounded in the word of god,"Doubt, Fear, Overwhelmed"
when we rearranged furniture in our flat and got stuck in a chair,"Challenge, Stuck, Frustration"
i am feeling stressed and more than a bit anxious,"Stress, Anxiety, Overwhelm"
i persevered through the storm of rejections feeling confident that i was doing what god had called me to do,"Perseverance, Confidence, Determination"
i was feeling comfortable in the first fight i saw things that were working for me but i m expecting a better rendall munroe because i think he might have underestimated me first time around,"Comfort, Improvement, Anticipation"
im not quite sure how she really feels about it because im pretty sure that she realizes that she is going to miss getting to watch the parade which is something she really enjoys,"Uncertainty, Missed, Disappointment"
i feel somewhat fake in the group,"Fakeness, Disconnection, Uncertainty"
i was feeling particularly pissed off and wanted to go to a party,"Anger, Desire, Social"
i feel like im still quite bad at describing my feelings with good words and beautiful phrases,"Expressiveness, Struggle, Frustration"
i feel so heartbroken over paul walker s tragic disappearance the life of someone so generous beautiful and talented should not end this way as other horrible individuals keep on living torturing assaulting and killing people,"Heartbreak, Tragedy, Sorrow"
i feel perfectly mellow,"Mellow, Contentment, Serenity"
i feel i have to give credit to jen mitchell for her gorgeous card a href http www,"Credit, Admiration, Inspiration"
i am alternating between feeling thrilled to see my dads family this weekend and terrified that i will be a black sheep among their normalcy,"Excitement, Fear, Anxiety"
i feel for my sweet boy,"Empathy, Concern, Love"
i feel about as helpless and superfluous as i did when jenn had elaine naturally,"Helplessness, Observance, Sadness"
i thought i didnt feel anything anymore it was over it was ok well today a different story i feel him i want him my heart hurts thinking he wont be around i still want him around i guess its still valid,"Emptiness, Longing, Pain"
im feeling better so hopefully things start falling back into the old routine,"Recovery, Hope, Routine"
i hope you feel incredibly cool now,"Coolness, Satisfaction, Pride"
i watched the news at the tv,"Information, Awareness, Observation"
i didn t really go looking for it but i can definately see where the enjorlas marius ship comes from though sadly i feel it s mostly one sided and that marius is nothing more than a rich schoolboy following his whims without thoughts to the concequences,"Curiosity, Surprise, Disappointment"
i feel i should as a gracious gesture apologizing for my latest post about the osp and the rand license terms,"Gratitude, Humility, Reflection"
i get people asking me what it feels like to be the most hated man in dallas county said assessor steve helm,"Notoriety, Isolation, Anxiety"
i have reported feeling marginalized intimidated and or subjected to threats of retaliation,"Vulnerability, Pressure, Fear"
im not sure if im more at peace with our situation or if im just not feeling as bitter about it but in the past five months something has changed within me,"Peace, Transformation, Lessened bitterness"
i am feeling profoundly peaceful,"Profound peace, Serenity, Bliss"
i feel bad then for not accepting who i am,"Regret, Self-acceptance, Disappointment"
i have tried sorting out the area for the cat houses this lunchtime but i guess after the printer ordeal i am feeling quite uptight so it has been put on hold,"Stress, Tension, Postponement"
i made that make me feel dumb and dumber,"Shame, Insecurity, Foolishness"
i have power feeling to justify their laziness and being bitchy against skinny girls,"Judgment, Resentment, Superiority"
i feel like my sweet company is finally coming together,"Optimism, Cohesion, Progress"
im making some more mood icons right now to let you see how i feel and think and of course its all charming,"Creativity, Self-expression, Charm"
i feel like i am not accepted here i and bucking this force that is coming from all quarters that tells me that something is wrong with me if i am not married with children,"Exclusion, Self-doubt, Pressure"
i apologise if the pictures are not very good quality but if youre stuck for ideas feel free to check out the websites in the captions,"Creativity, Inspiration, Sharing"
i feel fine now even though ive just burned the dinner oops,"Relief, Accident, Humor"
i feel for this divine landmass and all the respect i bear in my heart for the greatness residing on it,"Respect, Adoration, Gratitude"
i feel like but im not very fond of that word,"Indifference, Neutrality, Detachment"
i feel vulnerable not knowing what is to come and i feel like the rest of my life depends on today,"Vulnerability, Uncertainty, Dependency"
i feel so damn agitated,"Agitation, Restlessness, Tension"
i feel confident around him and i am always there if he needs help,"Confidence, Support, Availability"
i feel annoyingly isolated in the hostel with all those people talking outside the room etc,"Isolation, Exclusion, Frustration"
i feel like alcoholism is something that is widely accepted as the norm in gay culture,"Acceptance, Norm, Culture"
im just now realizing i didnt have a diet coke today and that makes me feel proud regardless of the other junk i consumed today,"Pride, Self-control, Achievement"
i also feel i have accepted my dark side and am finally realizing what of my dark side is healthy,"Acceptance, Insight, Growth"
i have spoken about before but the feeling is getting stronger and i am curious if others have similar thoughts,"Stronger feeling, Curiosity, Speculation"
i feel a bit dull by it all,"Indifference, Tedium, Boredom"
i hope it is because he understands the way i feel i hope he sees what he could miss and is putting the petty negative thoughts aside,"Understanding, Anticipation, Forgiveness"
i feel so blessed to be able to share it with you all,"Blessing, Sharing, Gratitude"
i feel a little virtuous doing these things but on the other hand nini s tasted better,"Virtue, Comparison, Satisfaction"
i say i want to be more of people person but i feel very mellow right now,"Indifference, Contentment, Serenity"
i pull out one of my favorite books to make myself feel miserable,"Despair, Pessimism, Masochism"
i feel convinced that im going to shy away from whatever is really good for me,"Avoidance, Fear, Self-sabotage"
i feel kind of awkward about doing this here goes,"Awkwardness, Hesitation, Action"
i feel like i should not be surprised at this development,"Unsurprised, Acceptance, Realization"
i am of snuffling and feeling dull,"Illness, Dullness, Discomfort"
i need to feel creative and productive,"Creativity, Productivity, Fulfillment"
i am who god has chosen to help my daughter become the woman god intended her to be even if i don t feel perfect,"Responsibility, Imperfection, Influence"
i am not feeling too bad except that my ribs are aching and i have a pulled muscle in my shoulder blade region from all my excruciating hours of hacking my lungs out last night,"Soreness, Exhaustion, Frustration"
i am at the point of feeling resentful toward him and i don t want to be,"Resentment, Desire to avoid, Struggle"
i write this i feel oddly calm like wanting to just relax in a big chair or lay out in the sun,"Calm, Relaxation, Contentment"
i feel really inspired,"Inspired, Motivated, Exhilaration"
i do know that i tell some people if i feel that their question is sincere some of my sacred treasures,"Trust, Gratitude, Sincerity"
i can sit here and cry and feel wronged but it wont change the outcome,"Frustration, Helplessness, Sadness"
i was worried that maybe she was sleeping so well because she wasn t getting enough milk and was feeling lethargic,"Worry, Concern, Fear"
i am going to actively learn more about these genres and or practice them so i can feel what i should feel as a dancer gt fearless courageous confident phew,"Determination, Courage, Confidence"
i started feeling a little stressed about leaving on time and making sure we got the getting ready pictures i wanted but everything seemed to workout perfectly,"Stress, Anticipation, Relief"
i feel like an ugly monster where i cannot show who i really am lest i seem weird or just plainly an outcast,"Insecurity, Isolation, Shame"
i feel a little guilty that we have this exceptional little girl from ethiopia home and in our arms but this blog continues to surround goosey,"Guilt, Conflict, Gratitude"
i feel the need to layer on fake tan for a night out to give me a bit of colour my clothes do it for me,"Confidence, Preparation, Pride"
i feel a real emotional connection to the ice queen from the north now that you have revealed that inhumanity runs in her bloody family,"Emotional, Connection, Resentment"
i have been designing earrings for some of my customers bridesmaids which i feel honoured to do,"Honor, Gratitude, Joy"
i could adopt and what messages i could think about to help make me feel more peaceful more grateful and just happier right now,"Peace, Gratitude, Contentment"
i feel quite worthless but i hear that that is pretty normal for north americans at this point,"Worthlessness, Normalcy, Disappointment"
i don t feel well enough to cook,"Unwell, Incapacity, Disappointment"
i feel so bad about it and hes stood there bewildered,"Regret, Confusion, Bewilderment"
i could feel hundreds of loving people all around the world connecting with earth it was simply beautiful,"Love, Connection, Beauty"
i feel not having a generous spirit or a forgiving nature closes me off from accepting gifts from the universe,"Closed, Regret, Isolation"
i feel accepted and loved by a community of derby girls that i helped to create,"Accepted, Love, Community"
i feel utterly disgusted with myself right now and am contemplating death every waking moment ever since she uttered those few words,"Disgust, Despair, Contemplation"
i often feel confused as to whether i have bipolar or just a really hard core sinful nature,"Confusion, Inquiry, Doubt"
i am feeling very thankful,"Thankful, Gratitude, Appreciation"
i feel privileged to have played against him,"Privilege, Honor, Respect"
i read it at a time amp place where i was feeling less than perfect,"Vulnerability, Timing, Imperfection"
im happy but i feel all this pressure to do one thing or another amp it makes me unhappy,"Happiness, Pressure, Unhappiness"
i feel it is worthwhile to give you all a more in depth city sized if you will look at one of our cycle days,"Insight, Depth, Worthwhile"
i was still feeling so exhausted from my workouts on monday and tuesday that all i did was go for a walk at the park for about,"Exhaustion, Mildness, Serenity"
i grabbed my dog and hugged her fiercly for the next hour or so until i began to feel a bit like myself again but i havent completly shaken the feeling and have been feeling rather depressed anxious all day,"Recovery, Love, Depression"
i found myself feeling inhibited and shushing her quite a lot,"Inhibition, Restraint, Frustration"
i admit that i am jet lagged so during the daylight i feel groggy almost hung over while at night when everyone is tucked in and snoozing a light pops in my brain and i transform into the ever ready bunny,"Jet-lagged, Grogginess, Energy"
i often throw myself into work when i m not with them that same maxim from last week if i feel discouraged the way i move forwards is to offer encouragement to others,"Encouragement, Progress, Optimism"
i feel a lot better about the way i wrote this bit of the code,"Satisfaction, Improvement, Contentment"
i was supposed to feel sympathy for emma im afraid i failed,"Indifference, Failure, Disappointment"
i feel inside this life is like a game sometimes then you came around me the walls just dissapeared nothing to surround me keep me from my fears im unprotected see how ive opened up youve made me trust coz ive never felt like this before im naked around you does it show,"Vulnerability, Connection, Trust"
i have no energy to get angry or upset anymore i just feel a little resigned,"Resigned, Fatigue, Acceptance"
i cant tell you how many times in the four months we have been seeing each other seriously that we have had to have serious emotional talks because one or both of us was feeling tender,"Tenderness, Communication, Emotion"
i am feeling so emotional about your brothers arrival,"Emotional, Anticipation, Joy"
im even feeling liked by the girls who hate pretty much everyone,"Acceptance, Liked, Surprise"
i go through my day feeling your movements and am amazed that something so miraculous is happening in my body its like a special secret only you and i have,"Wonder, Amazement, Secret"
i feel is valuable and i want to share,"Value, Sharing, Contribution"
i feel so unloved without you next to me but when im with you,"Loneliness, Love, Yearning"
i feel myself falling into the pit of buying it from her i think he s for real i m just skeptical of the women,"Skepticism, Curiosity, Doubt"
i was learning to just deal with the nausea amp manage the unpleasantness of it at work trying to keep anyone from knowing but my sister told me there was no need to suffer amp feel miserable amp to call my dr for some zofran,"Struggle, Relief, Gratitude"
im feeling greedy for right now,"Greed, Desire, Eagerness"
i justified in feeling slighted or am i just being ungrateful,"Conflicted, Insecurity, Gratitude"
i feel like it s waiting in the wings just patiently waiting for me to be distracted enough so it can take me down and take everything i love in this world away and destroy me,"Fear, Paranoia, Vulnerability"
i feel like i fucked up big time but i have to protect a and myself,"Regret, Protection, Determination"
i feel like my mind is blank and empty,"Emptiness, Confusion, Blankness"
i don t feel comfortable playing games with them presenting the bad guy as really a misunderstood good guy or vice versa,"Discomfort, Ethics, Judgment"
i listen to the advice of my eating disorder will i actually feel better,"Curiosity, Hope, Skepticism"
i bought the gb iphone i got a apple store credit i feel like they were sympathetic to early buyers and responded appropriately,"Gratitude, Satisfaction, Fairness"
im feeling a lot more optimistic about my future,"Optimism, Hopefulness, Future"
i feel pissed off and angry,"Anger, Frustration, Resentment"
i couldnt help feeling for him and this awful predicament he lives with on a daily and nightly basis and i was just so glad that once bel started to see the light he stuck it out and stood by daniel whilst no one else did including his family who im afraid i got really disgusted with,"Empathy, Support, Disgust"
im feeling so completely mellow and perfect tonight,"Serenity, Contentment, Perfection"
i feel curious because i would like to explore what is at the top of the helterskelter like plant,"Curiosity, Adventure, Exploration"
ive learned that there are angels on earth who feel me as i feel them who stand by with a loving thought a healing heart or a steady hand just as i would also offer without a moments hesitation in return always,"Connection, Empathy, Support"
i feel that the packaging is really lovely and the product itself just does everything you ask,"Appreciation, Satisfaction, Beauty"
i feel ive ignored it too long this year,"Neglect, Realization, Responsibility"
i know different because i feel in your hugs and kisses that im perfect just the way i am,"Acceptance, Love, Perfection"
i am feeling a little more relaxed i am certainly not feeling refreshed thanks to drunk dudes who decided letting off fireworks every half an hour all night would be super fun and the fact that it s impossible to sleep in the freezing cold with a complaining toddler but i have certainly rebooted,"Relaxation, Disturbed, Reboot"
i definitely feel there s some useful information here for anyone facing similar questions to those i had during this time of my life,"Insight, Guidance, Useful"
i too feel a sense of melancholy for them,"Melancholy, Empathy, Reflection"
im sad if some people are unhappy about the flag for religious reasons but i know many religious people who do not feel it goes against their faith and they are very supportive,"Sadness, Understanding, Support"
i don t feel brave though,"Fear, Caution, Threatened"
i walked near the hotel and i felt very obvious and uneasy all the warnings about petty crime i read in the guidebook and maybe some residual from years ago left me feeling threatened,"Determination, Loss, Improvement"
i feel like i m finally losing that stubborn little bit of extra stuff in my lower belly,"Overwhelm, Reflection, Legacy"
i am feeling overwhelmed by trying to do it all that i think on the women before me,"Frightened, Intensity, Alarm"
i remember feeling so frightened that i could feel emotions at that high a level,"Desire, Urgency, Frustration"
i feel inside coz i m so fucking horny,"Innocence, Confusion, Determination"
i have tested positive but i have never taken drugs and i feel innocent says martina,"Pride, Gratitude, Love"
im so proud of you no words can describe the way that makes my heart feel thank you god for my supportive amazing hubbard,"Understanding, Enjoyment, Respect"
i have made about sex i feel that women enjoy sex when their body and emotions are admired and respected,"Disinterest, Indifference, Peace"
i feel no need to work up acceptable conversation fodder,"Doubt, Effort, Hope"
i had just hiked up and down a long steep hillside loaded with grass and bushes so i was feeling pretty doubtful id be able to find it,"Serenity, Cleanliness, Simplicity"
i really like the color scheme since it makes me feel peaceful clean and simple,"Disappointment, Unfulfilled, Boredom"
i feels so lame,"Creativity, Appreciation, Simplicity"
i personally feel that it is a very creative present and everything packed inside a brown paper bag,"Fearlessness, Strength, Recovery"
i feel so fearless in these post grieving days,"Blessed, Love, Gratitude"
i feel so blessed to be married to him because he loves his stepchildren,"Sociability, Friendliness, Openness"
i dropped martin back off i was the dd i pulled in and because i was feeling exceptionally outgoing waved and talked to some of my neighbors downstairs,"Outgoing, Sociability, Surprise"
i feel more faithful than ever,"Faith, Strength, Euphoria"
i am feeling relieved to feel myself again,"Relief, Recovery, Serenity"
i sometimes feel a bit unwelcome,"Unwelcome, Isolation, Sadness"
i feel complacent at the moment,"Complacency, Contentment, Apathy"
i feel most passionate about that arouse my emotions seem to be the things i need to learn something about my emotion tells me there is a need to grow in some direction,"Passion, Growth, Curiosity"
i feel that it only makes you a person that i love who happened to do something that i don t find acceptable,"Love, Disapproval, Acceptance"
i have not only not lost any yarn overs but am now done with my first lace project and feeling pretty pleased,"Accomplishment, Pride, Satisfaction"
i want you to know that if i become prime minister in less than a year s time i will be proud to do so as a friend of israel a jew and most of all someone who feels so proud to be part of the community gathered here today,"Friendship, Israel, Pride"
i feel somewhat safe to give hosting a try,"Safety, Caution, Willingness"
i don t follow too many people and i don t have too many followers however i have a feeling that the people that i am talking about may know who they are i m not trying to be rude i m just being real,"Realization, Honesty, Reflection"
i never feel lonely as long as people love and support my work,"Support, Love, Contentment"
i have so much going on in my life and am constantly running like crazy i can always steal a quiet moment to acknowledge this child and the overwhelming excitement and anticipation that i feel god is truly faithful and brings everything around,"Excitement, Faithfulness, Gratitude"
i suspect his reasoning may simply be to lull apple into feeling complacent,"Complacency, Strategy, Suspicion"
i feel so exhausted by a,"Exhaustion, Overwhelm, Tiredness"
